6,2013-10-01,14,MOVE,990.7188,59.0,22:18:00,23:17:00,3,1|2013-10-01 22:18:00|7.020651846|79.89556091;2|2013-10-01 23:00:00|7.020651846|79.90454402;3|2013-10-01 23:17:00|7.020651846|79.89556091
7,2013-10-01,1,STAY,0.0,303.0,13:33:00,18:36:00,3,1|2013-10-01 13:33:00|7.64947|80.515396
8,2013-10-01,1,MOVE,0.0,0.0,20:06:00,20:06:00,1,1|2013-10-01 20:06:00|7.236246534|80.0392907
9,2013-10-01,1,STAY,0.0,45.0,14:44:00,15:29:00,2,1|2013-10-01 14:44:00|7.954895|81.440656
9,2013-10-01,2,MOVE,8558.825,184.0,15:29:00,18:33:00,4,1|2013-10-01 15:29:00|7.954895494|81.44065618;2|2013-10-01 18:04:00|8.017777278|81.48557174;3|2013-10-01 18:23:00|7.954895494|81.44065618;4|2013-10-01 18:33:00|7.954895494|81.44065618
10,2013-10-01,1,STAY,0.0,452.0,08:57:00,16:29:00,2,1|2013-10-01 08:57:00|7.128449|80.111156
10,2013-10-01,2,MOVE,2228.6021,51.0,16:29:00,20:11:00,4,1|2013-10-01 16:29:00|7.12844919|80.1111556;2|2013-10-01 16:47:00|7.146415414|80.10217249;3|2013-10-01 17:20:00|7.12844919|80.1111556;4|2013-10-01 20:11:00|7.092516742|80.1111556
10,2013-10-01,3,STAY,0.0,128.0,20:11:00,22:19:00,3,1|2013-10-01 20:11:00|7.092517|80.111156
10,2013-10-01,4,MOVE,21557.2738,41.0,22:19:00,23:00:00,3,1|2013-10-01 22:19:00|7.092516742|80.1111556;2|2013-10-01 22:24:00|7.12844919|80.1111556;3|2013-10-01 23:00:00|7.047601182|80.2638685
11,2013-10-01,1,MOVE,6686.5695,763.0,06:15:00,18:58:00,3,1|2013-10-01 06:15:00|6.840989606|79.90454402;2|2013-10-01 17:34:00|6.894888278|79.87759469;3|2013-10-01 18:58:00|6.840989606|79.90454402
12,2013-10-01,1,STAY,0.0,73.0,14:47:00,16:00:00,2,1|2013-10-01 14:47:00|6.930821|80.003358
12,2013-10-01,2,MOVE,2813.0219,3.0,16:00:00,17:22:00,3,1|2013-10-01 16:00:00|6.930820726|80.00335826;2|2013-10-01 16:03:00|6.94878695|80.02132448;3|2013-10-01 17:22:00|6.930820726|80.00335826
12,2013-10-01,3,STAY,0.0,183.0,17:22:00,20:25:00,2,1|2013-10-01 17:22:00|6.930821|80.003358
13,2013-10-01,1,STAY,0.0,914.0,07:06:00,07:06:00,1,1|2013-10-01 07:06:00|6.858956|79.868612
13,2013-10-01,2,MOVE,1406.6111,91.0,22:20:00,23:51:00,2,1|2013-10-01 22:20:00|6.867938942|79.85962846;2|2013-10-01 23:51:00|6.876922054|79.86861158
14,2013-10-01,1,STAY,0.0,74.0,12:33:00,13:47:00,5,1|2013-10-01 12:33:00|6.921838|79.868612
14,2013-10-01,2,MOVE,1996.4068,370.0,13:47:00,19:57:00,3,1|2013-10-01 13:47:00|6.921837614|79.86861158;2|2013-10-01 15:58:00|6.939803838|79.86861158;3|2013-10-01 19:57:00|6.921837614|79.86861158
15,2013-10-01,1,MOVE,0.0,0.0,09:20:00,11:24:00,2,1|2013-10-01 09:20:00|6.805057158|79.92251025;2|2013-10-01 11:24:00|6.778107822|79.93149336
15,2013-10-01,2,STAY,0.0,99.0,11:24:00,13:03:00,2,1|2013-10-01 11:24:00|6.778108|79.931493
15,2013-10-01,3,MOVE,0.0,0.0,13:03:00,15:50:00,2,1|2013-10-01 13:03:00|6.778107822|79.93149336;2|2013-10-01 15:50:00|6.778107822|79.94945958
15,2013-10-01,4,STAY,0.0,250.0,15:50:00,20:00:00,2,1|2013-10-01 15:50:00|6.778108|79.94946
15,2013-10-01,5,MOVE,1982.4528,53.0,20:00:00,20:53:00,2,1|2013-10-01 20:00:00|6.778107822|79.94945958;2|2013-10-01 20:53:00|6.778107822|79.93149336
16,2013-10-01,1,STAY,0.0,155.0,05:08:00,07:43:00,2,1|2013-10-01 05:08:00|9.67067|80.138105
16,2013-10-01,2,MOVE,0.0,0.0,07:43:00,08:35:00,2,1|2013-10-01 07:43:00|9.670669886|80.13810494;2|2013-10-01 08:35:00|9.670669886|80.01234137
16,2013-10-01,3,STAY,0.0,308.0,08:35:00,13:43:00,4,1|2013-10-01 08:35:00|9.67067|80.012341
16,2013-10-01,4,MOVE,3204.9389,95.0,13:43:00,15:34:00,4,1|2013-10-01 13:43:00|9.670669886|80.01234137;2|2013-10-01 14:25:00|9.661686774|80.03030759;3|2013-10-01 15:18:00|9.661686774|80.01234137;4|2013-10-01 15:34:00|9.670669886|80.01234137
16,2013-10-01,5,STAY,0.0,293.0,15:34:00,20:27:00,3,1|2013-10-01 15:34:00|9.67067|80.012341
17,2013-10-01,1,MOVE,0.0,0.0,08:56:00,08:56:00,1,1|2013-10-01 08:56:00|6.598445582|80.47048008
18,2013-10-01,1,MOVE,13014.2995,193.0,03:55:00,09:52:00,3,1|2013-10-01 03:55:00|7.604554126|81.71014954;2|2013-10-01 07:08:00|7.721334582|81.70116642;3|2013-10-01 09:52:00|7.703368358|81.67421709
18,2013-10-01,2,STAY,0.0,36.0,09:52:00,10:28:00,3,1|2013-10-01 09:52:00|7.703368|81.674217
18,2013-10-01,3,MOVE,10337.4979,136.0,10:28:00,14:08:00,4,1|2013-10-01 10:28:00|7.703368358|81.67421709;2|2013-10-01 11:20:00|7.685402134|81.73709887;3|2013-10-01 12:44:00|7.71235147|81.70116642;4|2013-10-01 14:08:00|7.703368358|81.67421709
18,2013-10-01,4,STAY,0.0,221.0,14:08:00,17:49:00,2,1|2013-10-01 14:08:00|7.703368|81.674217
18,2013-10-01,5,MOVE,7178.0828,83.0,17:49:00,19:12:00,2,1|2013-10-01 17:49:00|7.703368358|81.67421709;2|2013-10-01 19:12:00|7.75726703|81.63828464
19,2013-10-01,1,STAY,0.0,784.0,06:24:00,19:28:00,4,1|2013-10-01 06:24:00|6.95777|79.913527
20,2013-10-01,1,STAY,0.0,251.0,02:15:00,06:26:00,2,1|2013-10-01 02:15:00|7.002686|80.057257
20,2013-10-01,2,MOVE,6215.5988,228.0,06:26:00,10:59:00,4,1|2013-10-01 06:26:00|7.002685622|80.05725693;2|2013-10-01 09:59:00|7.020651846|80.05725693;3|2013-10-01 10:14:00|7.029634958|80.03030759;4|2013-10-01 10:59:00|7.002685622|80.05725693
20,2013-10-01,3,STAY,0.0,256.0,10:59:00,15:15:00,2,1|2013-10-01 10:59:00|7.002686|80.057257
