6,MOVE,-1,2013-10-02 04:57:54,79.89556100,7.02065200,-1,2013-10-02 06:05:38,79.89556100,7.02065200,0.000,4064,0.000,1|2013-10-02 04:57:54|7.02065200|79.89556100|-1;2|2013-10-02 06:03:59|7.36201000|80.49742900|-1;3|2013-10-02 06:05:38|7.02065200|79.89556100|-1
6,STAY,-1,2013-10-02 06:05:38,79.89556100,7.02065200,-1,2013-10-02 07:06:23,79.89556100,7.02065200,0.000,3645,0.000,1|2013-10-02 06:05:38|7.02065200|79.89556100|-1;2|2013-10-02 07:06:23|7.02065200|79.89556100|-1
6,MOVE,-1,2013-10-02 07:06:23,79.89556100,7.02065200,-1,2013-10-02 09:36:49,79.89556100,7.02065200,0.000,9026,0.000,1|2013-10-02 07:06:23|7.02065200|79.89556100|-1;2|2013-10-02 07:14:14|7.02963500|79.90454400|-1;3|2013-10-02 07:15:34|7.02065200|79.89556100|-1;4|2013-10-02 08:14:58|6.93980400|79.84166200|-1;5|2013-10-02 08:27:48|7.02065200|79.89556100|-1;6|2013-10-02 08:51:15|6.98471900|79.88657800|-1;7|2013-10-02 08:54:15|7.00268600|79.89556100|-1;8|2013-10-02 09:36:49|7.02065200|79.89556100|-1
6,STAY,-1,2013-10-02 09:36:49,79.89556100,7.02065200,-1,2013-10-02 12:06:49,79.89556100,7.02065200,0.000,9000,0.000,1|2013-10-02 09:36:49|7.02065200|79.89556100|-1;2|2013-10-02 12:06:49|7.02065200|79.89556100|-1
6,MOVE,-1,2013-10-02 12:06:49,79.89556100,7.02065200,-1,2013-10-02 12:58:49,79.89556100,7.02065200,0.000,3120,0.000,1|2013-10-02 12:06:49|7.02065200|79.89556100|-1;2|2013-10-02 12:41:41|6.91285500|79.89556100|-1;3|2013-10-02 12:58:49|7.02065200|79.89556100|-1
6,STAY,-1,2013-10-02 12:58:49,79.89556100,7.02065200,-1,2013-10-02 13:27:54,79.89556100,7.02065200,0.000,1745,0.000,1|2013-10-02 12:58:49|7.02065200|79.89556100|-1;2|2013-10-02 13:27:54|7.02065200|79.89556100|-1
6,MOVE,-1,2013-10-02 13:27:54,79.89556100,7.02065200,-1,2013-10-02 14:05:46,79.89556100,7.02065200,0.000,2272,0.000,1|2013-10-02 13:27:54|7.02065200|79.89556100|-1;2|2013-10-02 13:43:00|7.02065200|79.90454400|-1;3|2013-10-02 14:05:46|7.02065200|79.89556100|-1
6,STAY,-1,2013-10-02 14:05:46,79.89556100,7.02065200,-1,2013-10-02 17:42:04,79.89556100,7.02065200,0.000,12978,0.000,1|2013-10-02 14:05:46|7.02065200|79.89556100|-1;2|2013-10-02 17:42:04|7.02065200|79.89556100|-1
6,MOVE,-1,2013-10-02 17:42:04,79.89556100,7.02065200,-1,2013-10-02 19:21:21,79.89556100,7.02065200,0.000,5957,0.000,1|2013-10-02 17:42:04|7.02065200|79.89556100|-1;2|2013-10-02 18:15:36|7.02065200|79.90454400|-1;3|2013-10-02 19:21:21|7.02065200|79.89556100|-1
6,STAY,-1,2013-10-02 19:21:21,79.89556100,7.02065200,-1,2013-10-02 23:59:59,79.89556100,7.02065200,0.000,16718,0.000,1|2013-10-02 19:21:21|7.02065200|79.89556100|-1;2|2013-10-02 23:59:59|7.02065200|79.89556100|-1
